,Archivo,Original,Falso nulo,Calculada,Valor O,Valor C
88,14054-LAGOS DE MORENO.txt,"['30/01/2012', '2.5', 'Nulo', '23', '8']","['30/01/2012', '2.5', 'Nulo', '23', 'Nulo']","['30/01/2012', '2.5', '1.6', '23.0', '7.3']",8,7.3
89,14054-LAGOS DE MORENO.txt,"['04/10/2011', '0', 'Nulo', '28', '13']","['04/10/2011', 'Nulo', 'Nulo', '28', '13']","['04/10/2011', '0.0', '4.9', '28.0', '13.0']",0,0.0
90,14056-SAN MARTIN HIDALGO.txt,"['22/01/2013', '0', '2', '28.5', '6']","['22/01/2013', '0', '2', '28.5', 'Nulo']","['22/01/2013', '0.0', '2.0', '28.5', '9.0']",6,9.0
91,14056-SAN MARTIN HIDALGO.txt,"['25/03/2011', '0', '6.6', '36', '8.5']","['25/03/2011', '0', '6.6', '36', 'Nulo']","['25/03/2011', '0.0', '6.6', '36.0', '8.4']",8.5,8.4
92,14056-SAN MARTIN HIDALGO.txt,"['06/03/2009', '0', 'Nulo', '34.5', '11.5']","['06/03/2009', '0', 'Nulo', '34.5', 'Nulo']","['06/03/2009', '0.0', '5.0', '34.5', '11.2']",11.5,11.2
93,14059-CABO CORRIENTES.txt,"['13/09/2013', '3.5', '5.3', '30', '20']","['13/09/2013', 'Nulo', '5.3', '30', '20']","['13/09/2013', '1.5', '5.3', '30.0', '20.0']",3.5,1.5
94,14059-CABO CORRIENTES.txt,"['03/09/2017', '28.5', '3.7', '30', '20']","['03/09/2017', 'Nulo', '3.7', '30', '20']","['03/09/2017', 'Nulo', '3.7', '30.0', '20.0']",28.5,Nulo
95,14059-CABO CORRIENTES.txt,"['11/05/2013', '0', '6.9', '34', '13.5']","['11/05/2013', '0', '6.9', 'Nulo', '13.5']","['11/05/2013', '0.0', '6.9', '34.1', '13.5']",34,34.1
96,14060-ARANDAS.txt,"['04/12/2010', '0', '4.2', '29', '2']","['04/12/2010', 'Nulo', '4.2', '29', '2']","['04/12/2010', '0.0', '4.2', '29.0', '2.0']",0,0.0
97,14060-ARANDAS.txt,"['15/08/2013', '0', '4.6', 'Nulo', 'Nulo']","['15/08/2013', '0', 'Nulo', 'Nulo', 'Nulo']","['15/08/2013', '0.0', '3.8', '27.2', '12.9']",4.6,3.8
98,14060-ARANDAS.txt,"['15/03/2013', '0', '2.7', '20', '1']","['15/03/2013', '0', '2.7', 'Nulo', '1']","['15/03/2013', '0.0', '2.7', '17.2', '1.0']",20,17.2
99,14063-ETZATLAN.txt,"['08/06/2018', '35', 'Nulo', '35', '15']","['08/06/2018', '35', 'Nulo', '35', 'Nulo']","['08/06/2018', '35.0', 'Nulo', '35.0', 'Nulo']",15,Nulo
100,14063-ETZATLAN.txt,"['16/10/2018', '0', 'Nulo', '33', '14']","['16/10/2018', 'Nulo', 'Nulo', '33', '14']","['16/10/2018', 'Nulo', 'Nulo', '33.0', '14.0']",0,Nulo
101,14063-ETZATLAN.txt,"['20/10/2011', '0', '6', '28', '13']","['20/10/2011', 'Nulo', '6', '28', '13']","['20/10/2011', '0.0', '6.0', '28.0', '13.0']",0,0.0
102,14065-GUADALAJARA.txt,"['25/08/2009', '0', '5.8', '30.5', '17.9']","['25/08/2009', '0', 'Nulo', '30.5', '17.9']","['25/08/2009', '0.0', '8.7', '30.5', '17.9']",5.8,8.7
103,14065-GUADALAJARA.txt,"['13/10/2010', '0', '5.5', '28', '15.4']","['13/10/2010', '0', '5.5', '28', 'Nulo']","['13/10/2010', '0.0', '5.5', '28.0', '15.9']",15.4,15.9
104,14065-GUADALAJARA.txt,"['11/02/2008', '0', '4.4', '26.6', '8.5']","['11/02/2008', '0', '4.4', 'Nulo', '8.5']","['11/02/2008', '0.0', '4.4', '25.1', '8.5']",26.6,25.1
105,14066-GUADALAJARA.txt,"['30/09/2015', '0', '8.8', '26', '16']","['30/09/2015', '0', '8.8', '26', 'Nulo']","['30/09/2015', '0.0', '8.8', '26.0', '14.7']",16,14.7
106,14066-GUADALAJARA.txt,"['08/09/2008', '0.3', '3.4', '25', '17']","['08/09/2008', '0.3', '3.4', 'Nulo', '17']","['08/09/2008', '0.3', '3.4', '26.6', '17.0']",25,26.6
107,14066-GUADALAJARA.txt,"['13/10/2008', '3.5', '3.7', '28', '17.5']","['13/10/2008', 'Nulo', '3.7', '28', '17.5']","['13/10/2008', '4.9', '3.7', '28.0', '17.5']",3.5,4.9
108,14067-TOMATLAN.txt,"['06/07/2008', '5', '1.1', '31.5', '22']","['06/07/2008', '5', 'Nulo', '31.5', '22']","['06/07/2008', '5.0', '3.0', '31.5', '22.0']",1.1,3.0
109,14067-TOMATLAN.txt,"['16/08/2008', '1.5', '5.9', '32.5', '22.5']","['16/08/2008', '1.5', '5.9', '32.5', 'Nulo']","['16/08/2008', '1.5', '5.9', '32.5', '23.9']",22.5,23.9
110,14067-TOMATLAN.txt,"['30/01/2011', '0', '3.8', '30.5', '13']","['30/01/2011', 'Nulo', '3.8', '30.5', '13']","['30/01/2011', '0.0', '3.8', '30.5', '13.0']",0,0.0
111,14068-HOSTOTIPAQUILLO.txt,"['16/04/2008', '0', '8', '33', '11']","['16/04/2008', '0', 'Nulo', '33', '11']","['16/04/2008', '0.0', '9.4', '33.0', '11.0']",8,9.4
112,14068-HOSTOTIPAQUILLO.txt,"['17/06/2013', '0', '6.8', '33', '18']","['17/06/2013', 'Nulo', '6.8', '33', '18']","['17/06/2013', '0.0', '6.8', '33.0', '18.0']",0,0.0
113,14068-HOSTOTIPAQUILLO.txt,"['30/09/2009', '0', '4.3', '30', '16']","['30/09/2009', '0', '4.3', '30', 'Nulo']","['30/09/2009', '0.0', '4.3', '30.0', '19.5']",16,19.5
114,14069-HUEJUCAR.txt,"['28/05/2013', '0', '7.7', '31', '13.5']","['28/05/2013', '0', '7.7', 'Nulo', '13.5']","['28/05/2013', '0.0', '7.7', 'Nulo', '13.5']",31,Nulo
115,14069-HUEJUCAR.txt,"['24/10/2010', '0', '4.9', '26.5', '1.5']","['24/10/2010', '0', '4.9', '26.5', 'Nulo']","['24/10/2010', '0.0', '4.9', '26.5', 'Nulo']",1.5,Nulo
116,14069-HUEJUCAR.txt,"['28/07/2012', '0', '6.1', '27.5', '13']","['28/07/2012', '0', 'Nulo', '27.5', '13']","['28/07/2012', '0.0', 'Nulo', '27.5', '13.0']",6.1,Nulo
117,14070-DEGOLLADO.txt,"['30/08/2010', '14.5', '5.3', '30.5', '16.5']","['30/08/2010', '14.5', '5.3', '30.5', 'Nulo']","['30/08/2010', '14.5', '5.3', '30.5', 'Nulo']",16.5,Nulo
118,14070-DEGOLLADO.txt,"['25/04/2012', '0', '10.5', '33.5', '11']","['25/04/2012', '0', '10.5', 'Nulo', '11']","['25/04/2012', '0.0', '10.5', 'Nulo', '11.0']",33.5,Nulo
119,14070-DEGOLLADO.txt,"['28/11/2009', '0', '3.4', '25', '10']","['28/11/2009', '0', 'Nulo', '25', '10']","['28/11/2009', '0.0', 'Nulo', '25.0', '10.0']",3.4,Nulo
120,14071-HUEJUQUILLA EL ALTO.txt,"['28/02/2015', '0', '2.2', '25', '-1']","['28/02/2015', '0', '2.2', 'Nulo', '-1']","['28/02/2015', '0.0', '2.2', '23.1', '-1.0']",25,23.1
121,14071-HUEJUQUILLA EL ALTO.txt,"['16/09/2012', '0', '3.1', '26', '0.5']","['16/09/2012', '0', '3.1', 'Nulo', '0.5']","['16/09/2012', '0.0', '3.1', '26.9', '0.5']",26,26.9
